Name,Position,DOB,Nationality,Kit Number,Email
Wojciech Szczesny,Goalkeeper,"Apr 18, 1990 (29)",Poland,1,78B0409D9193D429663CF2110C3BED44E150830A61D05EBB1E6C0CA88717595B1D973FCBA2D1962757570CBFB7C9709B
Mattia Perin,Goalkeeper,"Nov 10, 1992 (26)",Italy,37,78B0409D9193D429663CF2110C3BED44E150830A61D05EBB1E6C0CA88717595B1D973FCBA2D1962757570CBFB7C9709B
Gianluigi Buffon,Goalkeeper,"Jan 28, 1978 (41)",Italy,77,78B0409D9193D429663CF2110C3BED44E150830A61D05EBB1E6C0CA88717595B1D973FCBA2D1962757570CBFB7C9709B
Carlo Pinsoglio,Goalkeeper,"Mar 16, 1990 (29)",Italy,31,78B0409D9193D429663CF2110C3BED44E150830A61D05EBB1E6C0CA88717595B1D973FCBA2D1962757570CBFB7C9709B
Matthijs de Ligt,Centre-Back,"Aug 12, 1999 (20)",Netherlands,4,78B0409D9193D429663CF2110C3BED44E150830A61D05EBB1E6C0CA88717595B1D973FCBA2D1962757570CBFB7C9709B
Leonardo Bonucci,Centre-Back,"May 1, 1987 (32)",Italy,19,78B0409D9193D429663CF2110C3BED44E150830A61D05EBB1E6C0CA88717595B1D973FCBA2D1962757570CBFB7C9709B
Daniele Rugani,Centre-Back,"Jul 29, 1994 (25)",Italy,24,78B0409D9193D429663CF2110C3BED44E150830A61D05EBB1E6C0CA88717595B1D973FCBA2D1962757570CBFB7C9709B
Merih Demiral,Centre-Back,"Mar 5, 1998 (21)",Turkey,28,78B0409D9193D429663CF2110C3BED44E150830A61D05EBB1E6C0CA88717595B1D973FCBA2D1962757570CBFB7C9709B
Giorgio Chiellini,Centre-Back,"Aug 14, 1984 (35)",Italy,3,78B0409D9193D429663CF2110C3BED44E150830A61D05EBB1E6C0CA88717595B1D973FCBA2D1962757570CBFB7C9709B
Alex Sandro,Left-Back,"Jan 26, 1991 (28)",Brazil,12,78B0409D9193D429663CF2110C3BED44E150830A61D05EBB1E6C0CA88717595B1D973FCBA2D1962757570CBFB7C9709B
Danilo,Right-Back,"Jul 15, 1991 (28)",Brazil,13,78B0409D9193D429663CF2110C3BED44E150830A61D05EBB1E6C0CA88717595B1D973FCBA2D1962757570CBFB7C9709B
Mattia De Sciglio,Right-Back,"Oct 20, 1992 (27)",Italy,2,78B0409D9193D429663CF2110C3BED44E150830A61D05EBB1E6C0CA88717595B1D973FCBA2D1962757570CBFB7C9709B
Emre Can,Defensive Midfield,"Jan 12, 1994 (25)",Germany,23,78B0409D9193D429663CF2110C3BED44E150830A61D05EBB1E6C0CA88717595B1D973FCBA2D1962757570CBFB7C9709B
Miralem Pjanic,Central Midfield,"Apr 2, 1990 (29)",Bosnia-Herzegovina,5,78B0409D9193D429663CF2110C3BED44E150830A61D05EBB1E6C0CA88717595B1D973FCBA2D1962757570CBFB7C9709B
Aaron Ramsey,Central Midfield,"Dec 26, 1990 (28)",Wales,8,78B0409D9193D429663CF2110C3BED44E150830A61D05EBB1E6C0CA88717595B1D973FCBA2D1962757570CBFB7C9709B
Adrien Rabiot,Central Midfield,"Apr 3, 1995 (24)",France,25,78B0409D9193D429663CF2110C3BED44E150830A61D05EBB1E6C0CA88717595B1D973FCBA2D1962757570CBFB7C9709B
Rodrigo Bentancur,Central Midfield,"Jun 25, 1997 (22)",Uruguay,30,
Blaise Matuidi,Central Midfield,"Apr 9, 1987 (32)",France,14,
Sami Khedira,Central Midfield,"Apr 4, 1987 (32)",Germany,6,
Cristiano Ronaldo,Left Winger,"Feb 5, 1985 (34)",Portugal,7,
Marko Pjaca,Left Winger,"May 6, 1995 (24)",Croatia,15,
Federico Bernardeschi,Right Winger,"Feb 16, 1994 (25)",Italy,33,
Douglas Costa,Right Winger,"Sep 14, 1990 (29)",Brazil,11,
Juan Cuadrado,Right Winger,"May 26, 1988 (31)",Colombia,16,
Paulo Dybala,Second Striker,"Nov 15, 1993 (25)",Argentina,10,
Gonzalo Higuaín,Centre-Forward,"Dec 10, 1987 (31)",Argentina,21,
Mario Mandzukic,Centre-Forward,"May 21, 1986 (33)",Croatia,17,78B0409D9193D429663CF2110C3BED44E150830A61D05EBB1E6C0CA88717595B1D973FCBA2D1962757570CBFB7C9709B
